zipcode,province_city,province_city_eng,city_county,city_county_eng,eup_myeon,eup_myeon_eng,road_nm,road_nm_eng,short_zipcode
56445,전라북도,Jeollabuk-do,고창군,Gochang-gun,고수면,Gosu-myeon,인성로,Inseong-ro,564
54025,전라북도,Jeollabuk-do,군산시,Gunsan-si,,,중정길,Jungjeong-gil,540
54168,전라북도,Jeollabuk-do,군산시,Gunsan-si,,,거사길,Geosa-gil,541
54364,전라북도,Jeollabuk-do,김제시,Gimje-si,,,만경로,Mangyeong-ro,543
54401,전라북도,Jeollabuk-do,김제시,Gimje-si,,,양지길,Yangji-gil,544
55725,전라북도,Jeollabuk-do,남원시,Namwon-si,,,중갈치길,Junggalchi-gil,557
55801,전라북도,Jeollabuk-do,남원시,Namwon-si,,,쑥고개로,Ssukgogae-ro,558
55512,전라북도,Jeollabuk-do,무주군,Muju-gun,무주읍,Muju-eup,평촌길,Pyeongchon-gil,555
56300,전라북도,Jeollabuk-do,부안군,Buan-gun,계화면,Gyehwa-myeon,양지길,Yangji-gil,563
56013,전라북도,Jeollabuk-do,순창군,Sunchang-gun,구림면,Gurim-myeon,동정자길,Dongjeongja-gil,560
55302,전라북도,Jeollabuk-do,완주군,Wanju-gun,경천면,Gyeongcheon-myeon,경가천길,Gyeonggacheon-gil,553
54601,전라북도,Jeollabuk-do,익산시,Iksan-si,,,평동로9길,Pyeongdong-ro 9-gil,546
54594,전라북도,Jeollabuk-do,익산시,Iksan-si,,,익산대로16길,Iksan-daero 16-gil,545
55939,전라북도,Jeollabuk-do,임실군,Imsil-gun,강진면,Gangjin-myeon,강운로,Gangun-ro,559
55626,전라북도,Jeollabuk-do,장수군,Jangsu-gun,계남면,Gyenam-myeon,가곡평지길,Gagokpyeongji-gil,556
54800,전라북도,Jeollabuk-do,전주시,"Deokjin-gu, Jeonju-si",,,신유강길,Sinyugang-gil,548
55025,전라북도,Jeollabuk-do,전주시,"Deokjin-gu, Jeonju-si",,,가소길,Gaso-gil,550
54907,전라북도,Jeollabuk-do,전주시,"Deokjin-gu, Jeonju-si",,,건지2길,Geonji 2-gil,549
55151,전라북도,Jeollabuk-do,전주시,"Deokjin-gu, Jeonju-si",,,화암2길,Hwaam 2-gil,551
56111,전라북도,Jeollabuk-do,정읍시,Jeongeup-si,감곡면,Gamgok-myeon,관봉1길,Gwanbong 1-gil,561
56213,전라북도,Jeollabuk-do,정읍시,Jeongeup-si,고부면,Gobu-myeon,만수길,Mansu-gil,562
55446,전라북도,Jeollabuk-do,진안군,Jinan-gun,동향면,Donghyang-myeon,진성로,Jinseong-ro,554
63564,제주특별자치도,Jeju-do,서귀포시,Seogwipo-si,,,선반로,Seonban-ro,635
63621,제주특별자치도,Jeju-do,서귀포시,Seogwipo-si,남원읍,Namwon-eup,태위로,Taewi-ro,636
63283,제주특별자치도,Jeju-do,제주시,Jeju-si,,,사라봉3길,Sarabong 3-gil,632
63307,제주특별자치도,Jeju-do,제주시,Jeju-si,,,동광로,Donggwang-ro,633
63166,제주특별자치도,Jeju-do,제주시,Jeju-si,,,중앙로4길,Jungang-ro 4-gil,631
63074,제주특별자치도,Jeju-do,제주시,Jeju-si,,,일주서로,Iljuseo-ro,630
25627,강원특별자치도,Gangwon-do,강릉시,Gangneung-si,강동면,Gangdong-myeon,모전제방길,Mojeonjebang-gil,256
25556,강원특별자치도,Gangwon-do,강릉시,Gangneung-si,,,창해로,Changhae-ro,255
25460,강원특별자치도,Gangwon-do,강릉시,Gangneung-si,,,창해로,Changhae-ro,254
24728,강원특별자치도,Gangwon-do,고성군,Goseong-gun,간성읍,Ganseong-eup,교촌길,Gyochon-gil,247
25703,강원특별자치도,Gangwon-do,동해시,Donghae-si,,,두암골길,Duamgol-gil,257
25813,강원특별자치도,Gangwon-do,동해시,Donghae-si,,,오일장2길,Oiljang 2-gil,258
25953,강원특별자치도,Gangwon-do,삼척시,Samcheok-si,가곡면,Gagok-myeon,가곡천로,Gagokcheon-ro,259
24863,강원특별자치도,Gangwon-do,속초시,Sokcho-si,,,청대로351번길,Cheongdae-ro 351beon-gil,248
